Year;Month;Day;Time;End Year;End Month;End Day;End Time;Display Date;Headline;Text;Media;Media Credit;Media Caption;Media Thumbnail;Type;Group;Background
1600;;;;1715;;;;;Grand siècle;;;;;;Ere;;
1605;;;;1512;;;;;Place des vosges ;;;;;;;;
1605;;;;1610;;;;;Pont-Neuf;;;;;;Archi;;
1607;;;;1611;;;;;Hôpital Saint-Louis;;;;;;Archi;;
1607;;;;1612;;;;;Place Dauphine;;;;;;Archi;;
1610;;;;;;;;;Galerie entre le louvre et les tuileries;;;;;;Archi;;
1610;;;;1643;;;;;regne de Louis III;;;;;;Dirigeant;;
1623;;;;;;;;;La manière de bâtir pour toutes sortes de personnes;Le Muet;;;;;;;
1624;;;;;;;;;L’architecture française des bâtiments particuliers;;;;;;;;
1642;;;;1549;;;;;Chateau de Maisons;Francois manssart ;;;;;Archi;;
1643;;;;1715;;;;;Regne de louis XIV;;;;;;Dirigeant;;
1653;;;;1659;;;;;Chateau de Vaux le Vicomte;Louis le Vau, Charles le Brun et André Le Notre;;;;;Archi;;
1662;;;;1668;;;;;Collège des Quatre-Nations;Actuel Institut de france ;;;;;Archi;;
1666;;;;;;;;;Colonnade de la place saint pierre ;Le bernin ;;;;;Archi;;
1687;;;;;;;;;le grand Trianon ;;;;;;Archi;;
1715;;;;1723;;;;;Régence du Duc D’orléan ;;;;;;Dirigeant;;
1600;;;;1750;;;;;Classicisme;;;;;;Mouvement;;
1715;;;;1789;;;;;Siecle des lumières;;;;;;Ere;;
1723;;;;1774;;;;;Regne de Louis XV;;;;;;Dirigeant;;
1750;;;;;;;;;Découverte d’herculanum et Pompéi;;;;;;;;
1750;;;;1830;;;;;Neo-classicisme;;;;;;Mouvement;;
1754;;;;1790;;;;;Panthéon de Paris;;;;;;Archi;;
1755;;;;1763;;;;;Place Louis XV;Paris, Actuelle place de la concorde ;;;;;Archi;;
1755;;;;;;;;;Place royale Louis XV;Bordeaux, actuelle place de la bourse;;;;;Archi;;
1770;;;;1900;;;;;mouvement industriel;;;;;;Mouvement;;
1774;;;;1789;;;;;Regne de louis XVI;;;;;;Dirigeant;;
1785;;;;1787;;;;;Barrière d’octroi de la Villette ;Ledoux ;;;;;;;
1786;;;;;;;;;Destruction du pont de notre dame;Raguenet;;;;;Archi;;
1789;;;;2024;;;;;Epoque contemporaine ;;;;;;Ere;;
1789;;;;1792;;;;;Periode révolutionnaire ;;;;;;Dirigeant;;
1789;;;;;;;;;Révolution française;;;;;;Ere;;
1792;;;;1799;;;;;Première république;;;;;;Dirigeant;;
1793;;;;1819;;;;;Capitole de Washington ;;;;;;Archi;;
1799;;;;1815;;;;;Premier empire ;;;;;;Dirigeant;;
1802;;;;1832;;;;;Aménagement des rues de Rivoli et des pyramides;Percier et Fontaine ;;;;;Archi;;
1803;;;;;;;;;Pont des arts ;;;;;;Archi;;
1805;;;;;;;;;Le précis des leçons d’architecture données à l’école polytechnique;Durand;;;;;;;
1806;;;;1836;;;;;Arc de Triomphe de l’étoile ;Paris, jean Francois Therese chagrin ;;;;;Archi;;
1810;;;;;;;;;Colonne Vendôme;;;;;;Archi;;
1815;;;;1830;;;;;Restauration (louis XVIII, Charles X);;;;;;Dirigeant;;
1815;;;;1823;;;;;Royal pavillon ;;;;;;Archi;;
1817;;;;1826;;;;;Bibliothèque de l’université de virginie ;;;;;;Archi;;
1818;;;;;;;;;La nouvelle garde ;Berlin;;;;;Archi;;
1821;;;;;;;;;Theatre de Berlin ;Schinkel ;;;;;Archi;;
1823;;;;;;;;;Galerie Orléans du palais royal ;;;;;;Archi;;
1824;;;;;;;;;Musée de Berlin ;;;;;;Archi;;
1829;;;;;;;;;Hotel de ville de Clermont-Ferrand ;;;;;;Archi;;
1830;;;;1890;;;;;Éclectisme;;;;;;Mouvement;;
1830;;;;1848;;;;;Monarchie de juillet;;;;;;Dirigeant;;
1845;;;;;;;;;Eglise de la Madeleine;;;;;;Archi;;
1846;;;;1853;;;;;Palais de justice de Montpellier ;;;;;;Archi;;
1848;;;;1851;;;;;Deuxième république ;;;;;;Dirigeant;;
1850;;;;1851;;;;;Bibliothèque sainte Genevieve ;;;;;;Archi ;;
1851;;;;;;;;;Crystal Palace;;;;;;Archi;;
1851;;;;1870;;;;;Second empire ;;;;;;Dirigeant;;
1852;;;;1855;;;;;Église saint Eugene ;Boileau ;;;;;Archi ;;
1859;;;;;;;;;Boulevard sebastopol;Percées haussmanienes ;;;;;Archi;;
1862;;;;;;;;;Destruction du boulevard de l’opera;;;;;;Archi;;
1867;;;;1875;;;;;Palais Garnier;;;;;;Archi;;
1870;;;;1914;;;;;Troisième république ;;;;;;Dirigeant;;
1880;;;;;;;;;Viaduc de Garabit;Eiffel ;;;;;Archi ;;
1889;;;;;;;;;Tour Eiffel;;;;;;Archi;;
1890;;;;1900;;;;;Art nouveau;;;;;;Mouvement;;
1900;;;;1970;;;;;Modernisme;;;;;;Mouvement;;
1924;;;;1933;;;;;Villa Noailles;;;;;;Archi;;
1940;;;;1980;;;;;Brutalisme;;;;;;Mouvement;;
1947;;;;1952;;;;;Unité d'habitation, Marseille;;;;;;Archi;;
1956;;;;1973;;;;;Palais de l'Opéra de Sydney;;;;;;Archi;;
1960;;;;2024;;;;;Minimalisme;;;;;;Mouvement;;
1976;;;;;;;;;Centre Georges Pompidou;;;;;;Archi;;
1980;;;;2024;;;;;Deconstructivisme;;;;;;Mouvement;;
1980;;;;2024;;;;;Mouvement contemporain;;;;;;Mouvement;;
